,customerid,gender,age,annual_income_(k$),spending_score_(1-100)
0,1,Male,19.0,15.0,39.0
1,2,Male,21.0,15.0,81.0
2,3,Female,20.0,16.0,6.0
4,5,Female,31.0,17.0,40.0
6,7,Female,35.0,18.0,6.0
7,8,Female,23.0,18.0,94.0
8,9,Male,64.0,19.0,3.0
10,11,Male,67.0,19.0,14.0
11,12,Female,35.0,19.0,99.0
12,13,Female,58.0,20.0,15.0
13,14,Female,24.0,20.0,77.0
14,15,Male,37.0,20.0,13.0
15,16,Male,22.0,20.0,79.0
17,18,Male,20.0,21.0,66.0
18,19,Male,52.0,23.0,29.0
19,20,Female,35.0,23.0,98.0
20,21,Male,35.0,24.0,35.0
21,22,Male,25.0,24.0,73.0
22,23,Female,46.0,25.0,5.0
23,24,Male,31.0,25.0,73.0
24,25,Female,54.0,28.0,14.0
26,27,Female,45.0,28.0,32.0
27,28,Male,35.0,28.0,61.0
28,29,Female,40.0,29.0,31.0
29,30,Female,23.0,29.0,87.0
32,33,Male,53.0,33.0,4.0
33,34,Male,18.0,33.0,92.0
34,35,Female,49.0,33.0,14.0
35,36,Female,21.0,33.0,81.0
37,38,Female,30.0,34.0,73.0
39,40,Female,20.0,37.0,75.0
40,41,Female,65.0,38.0,35.0
41,42,Male,24.0,38.0,92.0
43,44,Female,31.0,39.0,61.0
44,45,Female,49.0,39.0,28.0
45,46,Female,24.0,39.0,65.0
48,49,Female,29.0,40.0,42.0
50,51,Female,49.0,42.0,52.0
51,52,Male,33.0,42.0,60.0
52,53,Female,31.0,43.0,54.0
54,55,Female,50.0,43.0,45.0
56,57,Female,51.0,44.0,50.0
57,58,Male,69.0,44.0,46.0
59,60,Male,53.0,46.0,46.0
61,62,Male,19.0,46.0,55.0
64,65,Male,63.0,48.0,51.0
66,67,Female,43.0,48.0,50.0
68,69,Male,19.0,48.0,59.0
70,71,Male,70.0,49.0,55.0
72,73,Female,60.0,50.0,49.0
75,76,Male,26.0,54.0,54.0
76,77,Female,45.0,54.0,53.0
77,78,Male,40.0,54.0,48.0
79,80,Female,49.0,54.0,42.0
81,82,Male,38.0,54.0,55.0
82,83,Male,67.0,54.0,41.0
84,85,Female,21.0,54.0,57.0
85,86,Male,48.0,54.0,46.0
86,87,Female,55.0,57.0,58.0
87,88,Female,22.0,57.0,55.0
88,89,Female,34.0,58.0,60.0
89,90,Female,50.0,58.0,46.0
90,91,Female,68.0,59.0,55.0
92,93,Male,48.0,60.0,49.0
93,94,Female,40.0,60.0,40.0
94,95,Female,32.0,60.0,42.0
95,96,Male,24.0,60.0,52.0
96,97,Female,47.0,60.0,47.0
97,98,Female,27.0,60.0,50.0
98,99,Male,48.0,61.0,42.0
99,100,Male,20.0,61.0,49.0
100,101,Female,23.0,62.0,41.0
102,103,Male,67.0,62.0,59.0
103,104,Male,26.0,62.0,55.0
104,105,Male,49.0,62.0,56.0
105,106,Female,21.0,62.0,42.0
106,107,Female,66.0,63.0,50.0
107,108,Male,54.0,63.0,46.0
108,109,Male,68.0,63.0,43.0
110,111,Male,65.0,63.0,52.0
111,112,Female,19.0,63.0,54.0
112,113,Female,38.0,64.0,42.0
113,114,Male,19.0,64.0,46.0
114,115,Female,18.0,65.0,48.0
115,116,Female,19.0,65.0,50.0
116,117,Female,63.0,65.0,43.0
118,119,Female,51.0,67.0,43.0
119,120,Female,50.0,67.0,57.0
120,121,Male,27.0,67.0,56.0
121,122,Female,38.0,67.0,40.0
122,123,Female,40.0,69.0,58.0
123,124,Male,39.0,69.0,91.0
125,126,Female,31.0,70.0,77.0
126,127,Male,43.0,71.0,35.0
127,128,Male,40.0,71.0,95.0
128,129,Male,59.0,71.0,11.0
130,131,Male,47.0,71.0,9.0
131,132,Male,39.0,71.0,75.0
132,133,Female,25.0,72.0,34.0
133,134,Female,31.0,72.0,71.0
134,135,Male,20.0,73.0,5.0
135,136,Female,29.0,73.0,88.0
136,137,Female,44.0,73.0,7.0
137,138,Male,32.0,73.0,73.0
138,139,Male,19.0,74.0,10.0
140,141,Female,57.0,75.0,5.0
141,142,Male,32.0,75.0,93.0
142,143,Female,28.0,76.0,40.0
143,144,Female,32.0,76.0,87.0
144,145,Male,25.0,77.0,12.0
145,146,Male,28.0,77.0,97.0
146,147,Male,48.0,77.0,36.0
147,148,Female,32.0,77.0,74.0
148,149,Female,34.0,78.0,22.0
149,150,Male,34.0,78.0,90.0
150,151,Male,43.0,78.0,17.0
151,152,Male,39.0,78.0,88.0
152,153,Female,44.0,78.0,20.0
153,154,Female,38.0,78.0,76.0
154,155,Female,47.0,78.0,16.0
155,156,Female,27.0,78.0,89.0
157,158,Female,30.0,78.0,78.0
158,159,Male,34.0,78.0,1.0
159,160,Female,30.0,78.0,73.0
160,161,Female,56.0,79.0,35.0
161,162,Female,29.0,79.0,83.0
162,163,Male,19.0,81.0,5.0
163,164,Female,31.0,81.0,93.0
164,165,Male,50.0,85.0,26.0
165,166,Female,36.0,85.0,75.0
166,167,Male,42.0,86.0,20.0
167,168,Female,33.0,86.0,95.0
168,169,Female,36.0,87.0,27.0
169,170,Male,32.0,87.0,63.0
170,171,Male,40.0,87.0,13.0
171,172,Male,28.0,87.0,75.0
172,173,Male,36.0,87.0,10.0
173,174,Male,36.0,87.0,92.0
174,175,Female,52.0,88.0,13.0
175,176,Female,30.0,88.0,86.0
177,178,Male,27.0,88.0,69.0
178,179,Male,59.0,93.0,14.0
180,181,Female,37.0,97.0,32.0
181,182,Female,32.0,97.0,86.0
182,183,Male,46.0,98.0,15.0
183,184,Female,29.0,98.0,88.0
184,185,Female,41.0,99.0,39.0
185,186,Male,30.0,99.0,97.0
186,187,Female,54.0,101.0,24.0
187,188,Male,28.0,101.0,68.0
188,189,Female,41.0,103.0,17.0
189,190,Female,36.0,103.0,85.0
190,191,Female,34.0,103.0,23.0
191,192,Female,32.0,103.0,69.0
192,193,Male,33.0,113.0,8.0
193,194,Female,38.0,113.0,91.0
194,195,Female,47.0,120.0,16.0
195,196,Female,35.0,120.0,79.0
196,197,Female,45.0,126.0,28.0
197,198,Male,32.0,126.0,74.0
198,199,Male,32.0,137.0,18.0
199,200,Male,30.0,137.0,83.0
